curve,strategy,capital_multiple,capital_parent,capital_usd,trial,attacker_avg,best_honest_avg,is_top,snipe_fees,hop_fees,protocol_fees,price_impact_loss,round_trip_loss,mark_to_market,capital_deployed,cost_parent,cost_usd,cost_pct_of_capital,fee_share_of_cost,win_h0.0025,win_h0.005,win_h0.01,win_h0.0015
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,30,3183835.261902308,5787534.011645936,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,31,3183835.261902308,5421280.573407538,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,32,3183835.261902308,6617063.56058824,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,33,3183835.261902308,7088900.301712935,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,34,3183835.261902308,6308257.942426656,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,35,3183835.261902308,6187598.588041566,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,36,3183835.261902308,7307303.135165226,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,37,3183835.261902308,7617900.15229966,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,38,3183835.261902308,6672404.028713236,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3202772.588976638,800.6931472441595,39,3183835.261902308,7467539.994346854,False,0.0,4802.357323883905,0.0,5.929905455559492e-10,4802.357323884498,0.0,3202772.588976638,4802.357323884498,1.2005893309711246,0.0014994375000002625,0.9999999999998765,False,False,False,False
SINGLE_LIKE,self_fund_win,1.0,6405545.177953276,1601.386294488319,0,6367670.523804616,6823428.484328171,False,0.0,9604.714647767814,0.0,-3.474269760772586e-09,9604.71464776434,0.0,6405545.177953276,9604.71464776434,2.401178661941085,0.0014994374999995356,1.0000000000003617,False,False,False,False
SINGLE_LIKE,self_fund_win,1.0,6405545.177953276,1601.386294488319,1,6367670.523804616,6032180.284061655,True,0.0,9604.714647767814,0.0,-3.474269760772586e-09,9604.71464776434,0.0,6405545.177953276,9604.71464776434,2.401178661941085,0.0014994374999995356,1.0000000000003617,True,True,False,True
SINGLE_LIKE,self_fund_win,1.0,6405545.177953276,1601.386294488319,2,6367670.523804616,6542065.710051771,False,0.0,9604.714647767814,0.0,-3.474269760772586e-09,9604.71464776434,0.0,6405545.177953276,9604.71464776434,2.401178661941085,0.0014994374999995356,1.0000000000003617,False,False,False,False
SINGLE_LIKE,self_fund_win,1.0,6405545.177953276,1601.386294488319,3,6367670.523804616,5792922.212924445,True,0.0,9604.714647767814,0.0,-3.474269760772586e-09,9604.71464776434,0.0,6405545.177953276,9604.71464776434,2.401178661941085,0.0014994374999995356,1.0000000000003617,True,True,False,True
SINGLE_LIKE,self_fund_win,1.0,6405545.177953276,1601.386294488319,4,6367670.523804616,6360477.725089892,True,0.0,9604.714647767814,0.0,-3.474269760772586e-09,9604.71464776434,0.0,6405545.177953276,9604.71464776434,2.401178661941085,0.0014994374999995356,1.0000000000003617,True,True,False,True
SINGLE_LIKE,self_fund_win,1.0,6405545.177953276,1601.386294488319,5,6367670.523804616,7144523.366276009,False,0.0,9604.714647767814,0.0,-3.474269760772586e-09,9604.71464776434,0.0,6405545.177953276,9604.71464776434,2.401178661941085,0.0014994374999995356,1.0000000000003617,False,False,False,False
SINGLE_LIKE,self_fund_win,1.0,6405545.177953276,1601.386294488319,6,6367670.523804616,6306094.590231723,True,0.0,9604.714647767814,0.0,-3.474269760772586e-09,9604.71464776434,0.0,6405545.177953276,9604.71464776434,2.401178661941085,0.0014994374999995356,1.0000000000003617,True,True,False,True
SINGLE_LIKE,self_fund_win,1.0,6405545.177953276,1601.386294488319,7,6367670.523804616,7425303.963547455,False,0.0,9604.714647767814,0.0,-3.474269760772586e-09,9604.71464776434,0.0,6405545.177953276,9604.71464776434,2.401178661941085,0.0014994374999995356,1.0000000000003617,False,False,False,False
SINGLE_LIKE,self_fund_win,1.0,6405545.177953276,1601.386294488319,8,6367670.523804616,7104621.914615925,False,0.0,9604.714647767814,0.0,-3.474269760772586e-09,9604.71464776434,0.0,6405545.177953276,9604.71464776434,2.401178661941085,0.0014994374999995356,1.0000000000003617,False,False,False,False
