generation,attempt,winner,winner_interest,best_avg_parent,threshold_parent,avg_over_threshold,embedded_parent,float_frac,fdv_parent,fdv_eth,fdv_usd,edge_volume_eth,protocol_fee_eth,creator_usd,dev_usd,ancestor_usd,reinforce_usd,fdv_vs_parent,backing_frac
11,11,c0,1.6158668548799533,11377469.360456623,1500000.0,7.5849795736377486,28131053.971301414,0.4092049046272781,210450784.5986194,4.445610449277865e-06,0.01778244179711146,2.9145941791690527e-07,2.9246382989231066e-09,4.679421278276971e-06,2.3397106391384856e-06,2.339710639138484e-06,2.3397106391384856e-06,0.2104507845986194,0.1336704637378955
12,12,c3,2.545215090112202,17778903.211571056,1500000.0,11.85260214104737,40647083.86886739,0.4600920782308991,287452423.8264773,1.330352610145007e-06,0.005321410440580028,8.536640638849399e-08,8.566275548727704e-10,1.3706040877964326e-06,6.853020438982163e-07,6.85302043898216e-07,6.853020438982163e-07,0.2874524238264773,0.14140456124107792
13,13,c0,1.3985035798383814,10240250.980352782,1500000.0,6.826833986901854,23122983.11452567,0.38368526627235117,182995895.70118842,2.514687526466565e-07,0.001005875010586626,1.653859947382103e-08,1.6595387000696073e-10,2.655261920111372e-07,1.327630960055686e-07,1.327630960055685e-07,1.327630960055686e-07,0.1829958957011884,0.1263579329248066
14,14,c1,2.7432322918523155,18660056.67873735,1500000.0,12.4400377858249,42686691.09157816,0.4670244579081463,301135826.130815,7.883728734402278e-08,0.0003153491493760911,5.043275722560477e-09,5.060763186418562e-11,8.0972210982697e-08,4.04861054913485e-08,4.04861054913485e-08,4.04861054913485e-08,0.301135826130815,0.14175228381174027
15,15,c3,0.8378661503407819,6254684.649815589,1500000.0,4.169789766543726,14696981.477856185,0.3312542711819843,141132010.52129567,1.141993523714984e-08,4.567974094859936e-05,7.614026889568296e-10,7.63996672551879e-12,1.2223946760830064e-08,6.111973380415032e-09,6.111973380415033e-09,6.111973380415032e-09,0.14113201052129568,0.10413641401104061
16,16,c2,2.5508387666979675,20004145.383338016,1500000.0,13.336096922225344,42547187.23702444,0.46656046959421005,300189780.6211559,3.5483004889838042e-09,1.4193201955935217e-05,2.2777752165216824e-10,2.2856436416088784e-12,3.657029826574205e-09,1.8285149132871025e-09,1.8285149132871025e-09,1.8285149132871025e-09,0.3001897806211559,0.14173429604760476
17,17,c2,2.212403885749298,15673403.573256686,1500000.0,10.448935715504458,34384034.052236915,0.4366074988051933,247423065.39587164,9.152646136990208e-10,3.661058454796083e-06,5.893401154294938e-11,5.913709991290501e-13,9.461935986064802e-10,4.730967993032401e-10,4.730967993032397e-10,4.730967993032401e-10,0.24742306539587164,0.13896858806281134
18,18,c3,2.0276418966054783,17327779.851516787,1500000.0,11.551853234344525,37225674.057825595,0.4477005595846592,265213207.74588904,2.5339479207794054e-10,1.013579168311762e-06,1.62443675238429e-11,1.630038646038855e-13,2.6080618336621677e-10,1.3040309168310839e-10,1.3040309168310839e-10,1.3040309168310839e-10,0.265213207745889,0.14036131297613558
19,19,c1,2.1734053511449756,15967149.415737435,1500000.0,10.64476627715829,35409278.82177053,0.4406990404194976,253770418.6534664,6.71122931289924e-11,2.684491725159696e-07,4.309455848062955e-12,4.324289031260957e-14,6.918862450017531e-11,3.4594312250087655e-11,3.459431225008765e-11,3.4594312250087655e-11,0.2537704186534664,0.13953272808413222
20,20,c4,1.6583201778766368,11649106.021179285,1500000.0,7.76607068078619,26464403.471805118,0.4011034667324214,201101037.07529083,1.3963979774191478e-11,5.5855919096765915e-08,9.100843002431814e-13,9.131876967278699e-15,1.461100314764592e-11,7.30550157382296e-12,7.305501573822953e-12,7.30550157382296e-12,0.20110103707529084,0.1315975484596682
