n_candidates,snipe_tax,trial,parent_absorbed_total,parent_absorbed_usd,head_eth_in,head_eth_in_usd,head_fdv_move,winner_avg,score_cv,top1_share,block1_share_of_first_second,block1_snipe_usd,block1_cost_usd
50,True,3,84136100.03216586,21034.025008041463,15.180929201253113,60723.71680501245,7.156251776117443,1792454.528084061,0.6017593733823104,0.04151369526857373,1.0,311.13333333333395,219.015426045564
50,True,4,79145275.13125862,19786.318782814655,12.864199265163494,51456.797060653975,5.618722900819219,2534475.9774236153,0.653949461768243,0.0622873321838952,1.0,311.13333333333395,224.9356202174963
50,True,5,58984397.589866124,14746.09939746653,6.8450434026338955,27380.17361053558,2.3739355648361053,2601264.1085208477,0.7847267115641817,0.08001734893162114,1.0,311.13333333333395,252.5637510158221
50,True,6,66587897.57901934,16646.974394754834,8.66178964929328,34647.15859717312,3.2391943540888013,1628055.179291269,0.5740425821763305,0.04592022208918636,1.0,311.13333333333395,245.71375778003843
50,True,7,79741301.30016606,19935.325325041515,13.116422153776512,52465.688615106046,5.778331478407825,2247404.585729639,0.6318189030806837,0.05382183622919338,0.9535900821270307,311.13333333333395,222.33809973436266
50,False,0,72982083.15794735,18245.520789486836,10.568174728998006,42272.69891599203,4.253226514690622,2421003.965810177,0.7156754191797801,0.06795601432272878,0.8133325469326316,0.0,-1593.5870274198642
50,False,1,66732914.79246947,16683.228698117367,8.700718919663176,34802.8756786527,3.258814821541896,1630021.9142176409,0.6157837620435885,0.04820530762752918,1.0,0.0,-1396.5560525555798
50,False,2,74688575.24951163,18672.143812377908,11.152188758861932,44608.75503544773,4.585609132772472,2356517.3548946036,0.6470783483392121,0.05885944241420224,1.0,0.0,-1670.0655778453388
50,False,3,83050753.72428475,20762.68843107119,14.634725489168648,58538.90195667459,6.779302743393552,1997875.1384061829,0.6391703987612726,0.048209925343615366,1.0,0.0,-1963.7476289811339
50,False,4,75853946.67780536,18963.48666945134,11.5723771343059,46289.5085372236,4.8310593434915,1947540.5716288153,0.493425230001338,0.046791081762823816,0.8011005516957446,0.0,-1645.6397318919935
50,False,5,71894468.7373711,17973.617184342776,10.214022994286912,40856.09197714765,4.056632284440667,2054727.0755807941,0.5995183147146722,0.05658237219640292,0.8518518619717407,0.0,-1537.8109740621724
50,False,6,76584740.62022635,19146.185155056588,11.845320948408707,47381.28379363483,4.993325175808065,1981931.0465679336,0.5440104750087292,0.048712454944682994,1.0,0.0,-1677.0815842659172
50,False,7,83315463.65261182,20828.865913152957,14.765572936540035,59062.29174616014,6.868791605283262,2007744.7809642514,0.6059525268394971,0.04830687911152089,0.8233337164963421,0.0,-1894.992556001782
