curve,step,cum_tokens_sold,cum_tokens_frac_of_float,cum_parent_released,fdv_parent,drawdown
WALL_LIKE,31,263405744.57421553,0.3100000000000001,144189626.0237805,337194545.4046862,0.6628054545953138
WALL_LIKE,32,271902704.07660955,0.32000000000000006,147018790.4488964,329276264.0991691,0.6707237359008309
WALL_LIKE,33,280399663.5790036,0.33,149781903.55847913,321633658.2935109,0.6783663417064891
WALL_LIKE,34,288896623.0813976,0.34,152481251.77105293,314254078.0492428,0.6857459219507572
WALL_LIKE,35,297393582.5837916,0.35,155119017.18065304,307125590.7764878,0.6928744092235122
WALL_LIKE,36,305890542.08618563,0.35999999999999993,157697283.43985307,300236932.9668916,0.6997630670331084
WALL_LIKE,37,314387501.58857965,0.3699999999999999,160218041.2491281,293577465.67343974,0.7064225343265602
WALL_LIKE,38,322884461.0909737,0.3799999999999999,162683193.48294705,287137133.408398,0.712862866591602
WALL_LIKE,39,331381420.5933677,0.38999999999999985,165094559.98033518,280906426.16270715,0.7190935738372928
WALL_LIKE,40,339878380.0957617,0.3999999999999998,167453882.02525297,274876344.2788224,0.7251236557211775
WALL_LIKE,41,348375339.59815574,0.4099999999999998,169762826.5399727,269038365.9345994,0.7309616340654006
WALL_LIKE,42,356872299.10054976,0.41999999999999976,172022990.0126743,263384417.01875153,0.7366155829812484
WALL_LIKE,43,365369258.6029438,0.4299999999999997,174235902.17870912,257906843.19894052,0.7420931568010595
WALL_LIKE,44,373866218.1053378,0.43999999999999967,176403029.4733685,252598384.00198802,0.7474016159980119
WALL_LIKE,45,382363177.6077318,0.4499999999999997,178525778.27253523,247452148.7422433,0.7525478512577567
WALL_LIKE,46,390860137.11012584,0.45999999999999963,180605497.93626577,242461594.1490241,0.7575384058509759
WALL_LIKE,47,399357096.61251986,0.4699999999999996,182643483.66914523,237620503.55743814,0.7623794964425619
WALL_LIKE,48,407854056.1149139,0.4799999999999996,184640979.21015596,232922967.5389663,0.7670770324610336
WALL_LIKE,49,416351015.6173079,0.48999999999999955,186599179.36379796,228363365.85907698,0.771636634140923
WALL_LIKE,50,424847975.1197019,0.4999999999999995,188519232.38328546,223936350.6589731,0.7760636493410269
WALL_LIKE,51,433344934.62209594,0.5099999999999995,190402242.2158076,219636830.76746562,0.7803631692325343
WALL_LIKE,52,441841894.12448996,0.5199999999999995,192249270.61907908,215459957.05700883,0.7845400429429912
WALL_LIKE,53,450338853.626884,0.5299999999999995,194061339.1577067,211401108.76522246,0.7885988912347776
WALL_LIKE,54,458835813.129278,0.5399999999999994,195839431.08725914,207455880.70983076,0.7925441192901692
WALL_LIKE,55,467332772.631672,0.5499999999999994,197584493.1333414,203620071.33094466,0.7963799286690554
WALL_LIKE,56,475829732.13406605,0.5599999999999993,199297437.17243695,199889671.50006166,0.8001103284999384
WALL_LIKE,57,484326691.63646007,0.5699999999999993,200979141.82078835,196260854.0401087,0.8037391459598913
WALL_LIKE,58,492823651.1388541,0.5799999999999993,202630453.93713263,192729963.90536213,0.8072700360946379
WALL_LIKE,59,501320610.6412481,0.5899999999999992,204252190.04469222,189293508.97418207,0.8107064910258179
