shock,reinforcement,external_market,dst,mode,hops,uses_external,slippage_frac,slippage_usd_on_5k,protocol_fee_eth,hop_fee_legs,exhausted,tokens_out,link6_drawdown,excess_slippage_vs_healthy
0.5,fee_funded_3_rounds,arbitraged,12,FULL_LINE,13,False,0.17727030446305014,886.3515223152507,0.0125,13,False,3050079.8953058785,0.679076776275542,0.0464200784722123
0.5,fee_funded_3_rounds,arbitraged,12,PARENT_SOURCED,4,True,0.08931213171784358,446.5606585892179,0.0,4,False,3376164.459620656,0.679076776275542,0.03240669735860102
0.5,fee_funded_3_rounds,arbitraged,12,DEPTH_CAPPED(3),4,True,0.08931213171784358,446.5606585892179,0.0,4,False,3376164.459620656,0.679076776275542,0.03240669735860102
0.5,cap_max,independent,10,FULL_LINE,11,False,0.09120435910125091,456.02179550625453,0.0125,11,False,2209422.182675453,0.7690288671236267,-0.022940695094658237
0.5,cap_max,independent,10,PARENT_SOURCED,2,True,-0.049618344325480956,-248.09172162740478,0.0,2,False,2551783.865294936,0.7690288671236267,-0.08694839231893714
0.5,cap_max,independent,10,DEPTH_CAPPED(3),2,True,-0.049618344325480956,-248.09172162740478,0.0,2,False,2551783.865294936,0.7690288671236267,-0.08694839231893714
0.5,cap_max,independent,12,FULL_LINE,13,False,0.10742530350268598,537.1265175134299,0.0125,13,False,2169986.5683617294,0.7690288671236267,-0.023424922488151867
0.5,cap_max,independent,12,PARENT_SOURCED,4,True,-0.02827490820392975,-141.37454101964875,0.0,4,False,2499894.684604285,0.7690288671236267,-0.0851803425631723
0.5,cap_max,independent,12,DEPTH_CAPPED(3),4,True,-0.02827490820392975,-141.37454101964875,0.0,4,False,2499894.684604285,0.7690288671236267,-0.0851803425631723
0.5,cap_max,arbitraged,10,FULL_LINE,11,False,0.09309863486876657,465.49317434383283,0.0125,11,False,2317468.108585464,0.7717707457141636,-0.021046419327142574
0.5,cap_max,arbitraged,10,PARENT_SOURCED,2,True,0.01699058371213924,84.9529185606962,0.0,2,False,2511952.3029460623,0.7717707457141636,-0.020339464281316944
0.5,cap_max,arbitraged,10,DEPTH_CAPPED(3),2,True,0.01699058371213924,84.9529185606962,0.0,2,False,2511952.3029460623,0.7717707457141636,-0.020339464281316944
0.5,cap_max,arbitraged,12,FULL_LINE,13,False,0.10999841478539218,549.9920739269609,0.0125,13,False,2274282.926045546,0.7717707457141636,-0.02085181120544566
0.5,cap_max,arbitraged,12,PARENT_SOURCED,4,True,0.036695923996037494,183.47961998018746,0.0,4,False,2461597.8769494155,0.7717707457141636,-0.020209510363205063
0.5,cap_max,arbitraged,12,DEPTH_CAPPED(3),4,True,0.036695923996037494,183.47961998018746,0.0,4,False,2461597.8769494155,0.7717707457141636,-0.020209510363205063
0.9,none,independent,10,FULL_LINE,11,False,0.45731509453649233,2286.5754726824616,0.0125,11,False,21911478.674106162,0.934348821520333,0.3431700403405832
0.9,none,independent,10,PARENT_SOURCED,11,False,0.45731509453649233,2286.5754726824616,0.0125,11,False,21911478.674106162,0.934348821520333,0.41998504654303614
0.9,none,independent,10,DEPTH_CAPPED(3),11,False,0.45731509453649233,2286.5754726824616,0.0125,11,False,21911478.674106162,0.934348821520333,0.41998504654303614
0.9,none,independent,12,FULL_LINE,13,False,0.5349097909236027,2674.5489546180133,0.0125,13,False,18778510.504192248,0.934348821520333,0.40405956493276485
0.9,none,independent,12,PARENT_SOURCED,13,False,0.5349097909236027,2674.5489546180133,0.0125,13,False,18778510.504192248,0.934348821520333,0.47800435656436013
0.9,none,independent,12,DEPTH_CAPPED(3),13,False,0.5349097909236027,2674.5489546180133,0.0125,13,False,18778510.504192248,0.934348821520333,0.47800435656436013
0.9,none,arbitraged,10,FULL_LINE,11,False,0.21570894580579902,1078.544729028995,0.0125,11,False,3957252.046041362,0.8785191860126957,0.10156389160988988
0.9,none,arbitraged,10,PARENT_SOURCED,2,True,0.07280774800816503,364.03874004082513,0.0,2,False,4678280.361157684,0.8785191860126957,0.035477700014708846
0.9,none,arbitraged,10,DEPTH_CAPPED(3),2,True,0.07280774800816503,364.03874004082513,0.0,2,False,4678280.361157684,0.8785191860126957,0.035477700014708846
0.9,none,arbitraged,12,FULL_LINE,13,False,0.23955771758090516,1197.788587904526,0.0125,13,False,3836919.676574805,0.8785191860126957,0.10870749159006732
