curve,strategy,capital_multiple,capital_parent,capital_usd,trial,attacker_avg,best_honest_avg,is_top,snipe_fees,hop_fees,protocol_fees,price_impact_loss,round_trip_loss,mark_to_market,capital_deployed,cost_parent,cost_usd,cost_pct_of_capital,fee_share_of_cost,win_h0.0025,win_h0.005,win_h0.01
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,10,3190846.003653131,6731723.200930462,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,11,3190846.003653131,6278191.711830405,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,12,3190846.003653131,7037232.084766559,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,13,3190846.003653131,6684127.864299978,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,14,3190846.003653131,6153774.119352473,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,15,3190846.003653131,6516869.679972631,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,16,3190846.003653131,5860796.897113095,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,17,3190846.003653131,5873638.225158392,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,18,3190846.003653131,6036975.459852888,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
SINGLE_LIKE,self_fund_win,0.5,3209825.0303440075,802.4562575860019,19,3190846.003653131,6677115.132740532,False,0.0,4812.932018936608,0.0,-4.6202330850064754e-10,4812.932018936146,0.0,3209825.0303440075,4812.932018936146,1.2032330047340365,0.0014994374999999075,1.000000000000096,False,False,False
