generation,attempt,winner,winner_interest,best_avg_parent,threshold_parent,avg_over_threshold,embedded_parent,float_frac,fdv_parent,fdv_eth,fdv_usd,edge_volume_eth,protocol_fee_eth,creator_usd,dev_usd,ancestor_usd,reinforce_usd,fdv_vs_parent,backing_frac
11,11,c2,2.473368954113894,19430756.108834844,1500000.0,12.953837405889896,41563059.259511575,0.650928993228971,270751919.7848538,8.79251356137212e-06,0.03517005424548848,5.681561893552407e-07,5.701254275201581e-09,9.12200684032253e-06,4.561003420161265e-06,4.561003420161265e-06,4.561003420161265e-06,0.2707519197848538,0.1535097490445815
12,12,c2,1.7917916977235016,13303949.874435445,1500000.0,8.869299916290297,28310884.45879938,0.5928336409444099,192185221.07528886,1.7447979598710128e-06,0.006979191839484051,1.1461187160440011e-07,1.150060680766818e-09,1.8400970892269086e-06,9.200485446134543e-07,9.200485446134544e-07,9.200485446134543e-07,0.19218522107528888,0.14731041388301416
13,13,c1,0.8444253329451162,7368570.1881465595,1500000.0,4.9123801254310395,15671839.284208799,0.5128000867832005,129767021.72924593,2.3078563905383747e-07,0.0009231425562153499,1.552816746903473e-08,1.5581003951385243e-10,2.4929606322216393e-07,1.2464803161108197e-07,1.2464803161108186e-07,1.2464803161108197e-07,0.12976702172924592,0.12076904498053063
14,14,c0,1.2611504155891426,10835077.674281895,1500000.0,7.22338511618793,24173177.192739103,0.5699693682211618,170405949.28368485,4.0074080350700285e-08,0.00016029632140280114,2.6687340265963086e-09,2.677841145213732e-11,4.2845458323419716e-08,2.1422729161709858e-08,2.1422729161709845e-08,2.1422729161709858e-08,0.17040594928368485,0.14185641577863334
15,15,c2,2.704182467872737,19151493.37357786,1500000.0,12.767662249051906,39522930.73893581,0.6432067168985672,257782145.19523934,1.065164854759495e-08,4.26065941903798e-05,6.907995152248026e-10,6.931790313294523e-12,1.1090864501271236e-08,5.545432250635618e-09,5.545432250635618e-09,5.545432250635618e-09,0.25778214519523934,0.15331911645394172
16,16,c1,1.4134227271992064,10279160.501204746,1500000.0,6.8527736674698305,21502874.391730007,0.5536461750879906,157045693.3745354,1.7157355013941204e-09,6.862942005576482e-06,1.1395430338254334e-10,1.1434266627596622e-12,1.8294826604154596e-09,9.147413302077298e-10,9.147413302077298e-10,9.147413302077298e-10,0.15704569337453542,0.13692113377759552
17,17,c4,1.6036081152219457,12102787.810719952,1500000.0,8.068525207146635,26360485.27108464,0.5823979983475844,181755948.5740329,3.190190459683278e-10,1.2760761838733111e-06,2.1100295544794563e-11,2.117223472997353e-13,3.3875575567957653e-10,1.6937787783978826e-10,1.6937787783978826e-10,1.6937787783978826e-10,0.1817559485740329,0.14503231106269668
18,18,c2,2.9159390570037487,16512575.406441135,1500000.0,11.00838360429409,38391109.16053835,0.6387547334109528,250724062.43942007,8.255596709979198e-11,3.302238683991679e-07,5.348619928887614e-12,5.366977308093653e-14,8.587163692949846e-11,4.293581846474923e-11,4.29358184647492e-11,4.293581846474923e-11,0.2507240624394201,0.15312096009857215
19,19,c1,1.3001015421377111,10643121.884688316,1500000.0,7.0954145897922105,24545126.23257982,0.5721399971873693,172310182.54231882,1.4621254461592696e-11,5.8485017846370785e-08,9.641208483662206e-13,9.673995779856373e-15,1.5478393247770198e-11,7.739196623885099e-12,7.739196623885099e-12,7.739196623885099e-12,0.1723101825423188,0.1424473346289423
20,20,c1,3.284853338694564,24719474.83806383,1500000.0,16.479649892042552,55739499.07770391,0.6957390932584395,369667257.56982845,5.655505384683625e-12,2.26220215387345e-08,3.5531285339779144e-13,3.565401853408886e-15,5.704642965454218e-12,2.852321482727109e-12,2.852321482727109e-12,2.852321482727109e-12,0.36966725756982843,0.15078289444440443
