scenario,day,top1_share,top2_share,round_winner_share,round_winner_is_top1
dump90,23,0.5717915360825265,0.4282084639174734,0.5717915360825265,True
dump90,24,0.5858709184977104,0.4141290815022894,0.5858709184977104,True
dump90,25,0.5857297513634274,0.4142702486365726,0.5857297513634274,True
dump90,26,0.5895202152709484,0.4104797847290515,0.5895202152709484,True
dump90,27,0.6037941178452467,0.3962058821547532,0.6037941178452467,True
dump90,28,0.6097728310868962,0.39022716891310394,0.6097728310868962,True
dump90,29,0.6221654342097074,0.3778345657902926,0.6221654342097074,True
dump90,30,0.6307761058577512,0.36922389414224877,0.6307761058577512,True
rally,1,0.5426034168883984,0.4573965831116014,0.5426034168883984,True
rally,2,0.5437126578055602,0.45628734219443984,0.5437126578055602,True
rally,3,0.5436073843764482,0.4563926156235519,0.5436073843764482,True
rally,4,0.5373830805933912,0.4626169194066088,0.5373830805933912,True
rally,5,0.5285657565805965,0.47143424341940354,0.5285657565805965,True
rally,6,0.5282534990715414,0.47174650092845843,0.5282534990715414,True
rally,7,0.5288244851729291,0.4711755148270709,0.5288244851729291,True
rally,8,0.5303138059539736,0.4696861940460265,0.5303138059539736,True
rally,9,0.5317563600454857,0.4682436399545143,0.5317563600454857,True
rally,10,0.5345172763504012,0.4654827236495988,0.5345172763504012,True
rally,11,0.5334536627237398,0.4665463372762602,0.5334536627237398,True
rally,12,0.5310834729492723,0.46891652705072767,0.5310834729492723,True
rally,13,0.5266538845283909,0.47334611547160915,0.5266538845283909,True
rally,14,0.5293697613476962,0.47063023865230375,0.5293697613476962,True
rally,15,0.5301335195788345,0.4698664804211654,0.5301335195788345,True
rally,16,0.5314587960045035,0.46854120399549654,0.5314587960045035,True
rally,17,0.5350220701807638,0.4649779298192362,0.5350220701807638,True
rally,18,0.5328438054506558,0.4671561945493443,0.5328438054506558,True
rally,19,0.5329552810959796,0.46704471890402044,0.5329552810959796,True
rally,20,0.5287294937866094,0.4712705062133906,0.5287294937866094,True
rally,21,0.5275450941817275,0.47245490581827243,0.5275450941817275,True
rally,22,0.5202013336068905,0.47979866639310953,0.5202013336068905,True
rally,23,0.5168088948054191,0.48319110519458086,0.5168088948054191,True
rally,24,0.5162046375237852,0.4837953624762149,0.5162046375237852,True
rally,25,0.5101075724131641,0.48989242758683593,0.5101075724131641,True
rally,26,0.5027611909044613,0.49723880909553864,0.5027611909044613,True
rally,27,0.5042413132206581,0.4957586867793418,0.4957586867793418,False
rally,28,0.5084833853306144,0.49151661466938557,0.49151661466938557,False
rally,29,0.5124633199604645,0.48753668003953554,0.48753668003953554,False
rally,30,0.5132391485012003,0.4867608514987997,0.4867608514987997,False
whale,1,0.6124825678103457,0.3875174321896543,0.6124825678103457,True
whale,2,0.6080684830490525,0.3919315169509476,0.6080684830490525,True
whale,3,0.6098433842356568,0.39015661576434313,0.6098433842356568,True
whale,4,0.6139582854309946,0.3860417145690054,0.6139582854309946,True
whale,5,0.6124699337652335,0.3875300662347664,0.6124699337652335,True
whale,6,0.6127827935552952,0.3872172064447048,0.6127827935552952,True
whale,7,0.6126771585235806,0.38732284147641943,0.6126771585235806,True
whale,8,0.6099868307472942,0.3900131692527058,0.6099868307472942,True
whale,9,0.6098412034267952,0.39015879657320485,0.6098412034267952,True
whale,10,0.6075694842590238,0.3924305157409762,0.6075694842590238,True
whale,11,0.6059454367437808,0.39405456325621924,0.6059454367437808,True
whale,12,0.606101163820434,0.393898836179566,0.606101163820434,True
whale,13,0.609311081442376,0.39068891855762394,0.609311081442376,True
whale,14,0.6075338119630552,0.3924661880369447,0.6075338119630552,True
whale,15,0.6042631600720597,0.39573683992794034,0.39573683992794034,False
whale,16,0.6028007086589989,0.397199291341001,0.6028007086589989,True
whale,17,0.6009854709563058,0.39901452904369417,0.6009854709563058,True
whale,18,0.6074405270573199,0.3925594729426801,0.6074405270573199,True
whale,19,0.6104596659464527,0.3895403340535473,0.6104596659464527,True
whale,20,0.6094785562771553,0.39052144372284464,0.6094785562771553,True
whale,21,0.6094850849745723,0.3905149150254276,0.6094850849745723,True
whale,22,0.6111655975472406,0.3888344024527594,0.6111655975472406,True
whale,23,0.6132367075771689,0.38676329242283114,0.6132367075771689,True
whale,24,0.6133181340465379,0.38668186595346205,0.6133181340465379,True
whale,25,0.6135899322712269,0.3864100677287731,0.6135899322712269,True
whale,26,0.6106024748364615,0.3893975251635385,0.6106024748364615,True
whale,27,0.6092568290920418,0.3907431709079583,0.6092568290920418,True
whale,28,0.608625479036587,0.3913745209634131,0.608625479036587,True
whale,29,0.6076751862505293,0.39232481374947076,0.6076751862505293,True
whale,30,0.6056787019857883,0.3943212980142118,0.6056787019857883,True
